idx,words,lid
15,"['😂😂' '“' '@manito_jesse' ':' '“' '@kiragarciaa' ':' 'Por' 'favor' 'baby'
 'rip' 'me' 'right' 'out' 'of' 'my' 'dolce' '😏🎧' '”' 'tato' '😎😏' '”']","['other' 'other' 'other' 'other' 'other' 'other' 'other' 'lang2' 'lang2'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'other' 'lang1' 'other' 'other']"
16,"['Bubble' 'gum' 'and' 'heat' 'wave' '😭😭😭😭😭😭' '“' '@larki__' ':' 'Yamilka'
 ',' 'sheyla' 'took' 'my' 'dollar' 'to' 'la' 'iglesia'
 'dksishslbehelbeksbdjjdbksbs' '😭😍' '❤' '️' 'RT' '@kiragarciaa' ':']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'other' 'other'
 'ne' 'other' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'unk'
 'other' 'other' 'other' 'lang1' 'other' 'other']"
17,['Te' 'pienso' 'y' 'no' 'te' 'puedo' 'olvidar'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
18,"['Am' 'going' 'to' 'work' 'really' 'hard' '!!!' 'No' 'matter' 'what' 'is'
 'going' 'in' 'my' 'life']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']"
19,"['my' 'mom' ':' 'me' 'puestes' 'mandar' 'unos' 'gotero' 'que' 'se' 'llama'
 '""' 'me' 'vale' 'madre' '""' 'jajajaja']","['lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang2']"
20,['this' 'can' 'be' 'happing' 'to' 'me' 'Noooooo' 'wake' 'up' 'girl' '!!!'],"['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other']"
21,['no' 'tutti' 'fruitt' 'today' ':('],['lang1' 'ne' 'ne' 'lang1' 'other']
22,['Un' 'poco' 'de' 'miedo' '😏'],['lang2' 'lang2' 'lang2' 'lang2' 'other']
23,"['""' 'Smile' 'cause' 'your' 'smile' 'is' 'amazing' '""' '😄']",['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other']
24,['Yo' 'no' 'soy' 'de' 'botas' 'vaquera' 'me' 'miro' 'súper' 'mal' 'jajaja'],"['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2']"
25,['I' 'already' 'know' 'what' 'I' 'want' 'for' 'my' 'b-day' ':)'],"['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other']"
26,"['I' 'just' 'want' 'to' 'slap' 'my' 'self' 'jaja' 'stop' 'it' 'Alejandra'
 'stop' 'it']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1'
 'lang1' 'ne' 'lang1' 'lang1']"
27,['I' 'just' 'want' 'to' 'slap' 'my' 'self' 'jaja'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2']
28,"['I' 'want' 'to' 'go' 'to' 'san' 'Antonio' '!!!' 'and' 'to' 'hill'
 'country' 'and' 'san' 'marcos' 'too']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'ne' 'other' 'lang1' 'lang1'
 'ne' 'ne' 'lang1' 'ne' 'ne' 'lang1']"
29,['I' 'want' 'to' 'sleep' 'more' '😴😴😞'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
30,"['I' 'want' 'friday' 'to' 'be' 'here' 'already' ':)' 'can' 'wait' 'I'
 'just' 'hope' 'it' 'fit' '😁']","['lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
31,['I' 'need' 'that' 'yesterday' ':)'],['lang1' 'lang1' 'lang1' 'lang1' 'other']
32,['Que' 'rico' 'me' 'duele' 'mi' 'cuerpo' '#goodexercise'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1']
33,"['I' 'hope' 'it' 'can' 'happen' '!!!' 'if' 'not' 'it' 'ok' 'pero' 'if'
 'it' 'does' ':)' 'please' 'please' 'let' 'it' 'happen' '<3']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang2' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other']"
34,['A' 'dormir' 'goodnight' '😘'],['lang2' 'lang2' 'lang1' 'other']
35,['@alexiasalazar8' 'meow'],['other' 'unk']
36,"['lol' 'ELLEN' 'saying' 'she' 'has' 'no' 'money' 'to' 'tip' 'the' 'pizza'
 'boy' "":')""]","['lang1' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other']"
37,"['@biittchmiko' 'Okay' 'I' ""'m"" 'going' 'send' 'it' 'to' 'you' 'or' 'its'
 'all' 'the' 'same' 'thing']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']"
38,"['@biittchmiko' 'Okay' ',' 'Priscilla' 'gave' 'me' 'a' 'coupon' 'I'
 'could' 'used' 'it' ',' 'but' 'I' 'can' ""n't"" 'print' 'it' '.']","['other' 'lang1' 'other' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other']"
39,"['@Moniii_07' '@daang_priscilla' 'Sorry' 'girls' 'I' 'did' ""n't"" 'know'
 'you' 'all' 'where' 'going' 'to' 'call' 'me' ':(']","['other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
40,"['I' 'think' 'I' ""'ll"" 'just' 'go' 'to' 'bed' '.']",['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
41,"['Hay' 'Dios' ',' 'I' ""'m"" 'tired' '.']",['lang2' 'ne' 'other' 'lang1' 'lang1' 'lang1' 'other']
42,"['Wow' ',' 'I' 'love' 'oomf' 'she' 'makes' 'me' 'laugh' '(:']","['lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other']"
43,['Mallorie' 'and' 'Megan' 'are' 'freaking' 'hilarious' '...'],['ne' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'other']
44,"['@biittchmiko' 'I' ""'ll"" 'be' 'there' 'like' 'at' '4' 'Okay' 'give' 'me'
 'a' 'discount' 'lol' '(:']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
45,"['Duele' 'el' 'amor' 'sin' 'ti' ',' 'duele' 'hasta' 'matar' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2'
 'other']"
46,"['Lastnight' 'I' 'cried' ',' 'till' 'I' 'fell' 'asleep' '.']",['lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
47,"['Lastnight' ',' 'talking' 'a' 'David' 'about' 'all' 'my' 'problems' ','
 'the' 'shit' 'I' ""'ve"" 'been' 'through' ',' 'I' 'knew' 'he' ""'s"" 'a'
 'good' 'friend' '.']","['lang1' 'other' 'lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
48,['&' 'lastnight' 'was' 'one' 'of' 'those' 'days' '.'],['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
49,"['When' 'I' ""'m"" 'depress' ',' 'I' 'fall' 'asleep' 'early' ',']","['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'other']"
50,"['I' ""'m"" 'done' ',' 'I' ""'m"" 'done' '.']",['lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'other']
51,"['I' 'love' 'Alicia' 'no' 'matter' 'how' 'much' 'shit' 'we' 'go' 'through'
 'we' 'always' 'talk' 'about' 'and' 'where' 'there' 'like' 'sisters' '(:']","['lang1' 'lang1' 'ne' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other']"
52,['Only' 'music' 'will' 'make' 'me' 'happy' '!!!!!!'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
53,['I' 'love' 'to' 'dance' 'to' 'Reggeton' '>>>>'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ne' 'other']
54,"['His' 'dick' 'was' 'small' ',' 'that' 'all' 'there' 'saying' '.']","['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'other']"
55,['deseo' 'acabar' 'con' 'todo' '...'],['lang2' 'lang2' 'lang2' 'lang2' 'other']
56,['@quinti14' 'ouchh'],['other' 'unk']
57,"['reaccióna' 'encabronada' 'como' 'si' 'el' 'sueño' 'fuese' 'verdad' '..'
 'jajajaja']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2']"
58,"['mis' 'padres' 'discutiendo' 'quien' 'grabo' 'mejor' 'el' 'baile' '..'
 'jajajaja']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2']"
59,"['@alexandrarosado' 'el' 'mio' 'esta' 'tan' 'chaputeao' 'que' 'me' 'da'
 'pena']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2']"
60,['@NEWdanicsierra' 'em' 'que' '?'],['other' 'lang2' 'lang2' 'other']
61,"['@alexandrarosado' '@mememecaigo' 'que' '?' 'voy' 'a' 'morir' '!' 'yo'
 'ni' 'se' 'como' 'hacerlo' '!' "":'(""]","['other' 'other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']"
62,"['@mememecaigo' 'dime' 'que' 'eso' 'no' 'es' 'para' 'mañana' 'y' 'que'
 'es' 'para' 'el' '5' ':(']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']"
63,['@quinti14' 'ouchh' '..' 'como' 'te' 'lo' 'doblaste' '?'],['other' 'unk' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
64,"['no' 'poder' 'ir' 'a' 'la' 'playa' 'porque' 'no' 'he' 'terminado' 'de'
 'estudiar' 'me' 'duele' ':/']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
65,['@PMGA_' 'jajajajaaj' 'mi' 'papa' 'hiso' 'lo' 'mismo' '!'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
66,['@colon_andre' 'papi' 'lo' 'grabo' 'en' 'su' 'cel'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
67,['mi' 'tia' 'llorando' 'viendo' 'el' 'video' 'esto' 'no' 'pasa'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
68,['sigo' 'viendo' 'el' 'baile' 'de' 'nosotras' 'y' 'sigo' 'llorando'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
69,['@vivivazq' 'cuando' 'no' '?'],['other' 'lang2' 'lang2' 'other']
70,['@yandiaflandia' 'vivi' 'durmio' 'como' '18' '...'],['other' 'ne' 'lang2' 'lang2' 'other' 'other']
71,"['""' '¿' 'vas' 'hacer' 'algo' 'hoy' '?' '""' '-sii' ',' 'decir' 'que' 'voy'
 'a' 'estudiar' 'y' 'terminar' 'trabajos' 'y' 'no' 'hacer' 'tres'
 'carajos' '...']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
72,"['mil' 'cosas' 'que' 'terminar' 'y' 'yo' 'sigo' 'aqui' 'en' 'mi' 'cama'
 'esperando' 'que' 'de' 'alguna' 'manera' 'se' 'hagan' '...']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']"
73,"['como' 'es' 'posible' 'que' 'dormi' 'tanto' 'y' 'quiero' 'seguir'
 'durmiendo' '...']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']"
74,['dormí' '15' 'horas' '...'],['lang2' 'other' 'lang2' 'other']
75,['este' 'dia' 'se' 'me' 'ha' 'hecho' 'eterno'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
76,['esta' 'urbanisacion' 'es' 'enorme' '...'],['lang2' 'lang2' 'lang2' 'lang2' 'other']
77,['que' 'empieze' 'ya' '!'],['lang2' 'lang2' 'lang2' 'other']
78,"['@saocopapi' 'a' 'mi' 'tambien' 'me' 'dio' '!' '-.-' 'voy' 'a' 'llorar'
 '!']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2'
 'lang2' 'lang2' 'other']"
79,"['no' 'hay' 'nadie' 'en' 'la' 'escuela' 'todavia' 'cual' 'es' 'proposito'
 '....']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']"
80,['escondiendonos' '...' 'JA' '!'],['lang2' 'other' 'lang2' 'other']
81,['quiero' 'café' 'ahora' '!'],['lang2' 'lang2' 'lang2' 'other']
82,['@esthimarie' 'graciass' ':)'],['other' 'lang2' 'other']
83,['@esthimarie' 'oka'],['other' 'lang1']
84,"['@NEWdanicsierra' 'como' 'pagamos' 'pal' 'de' '$$$' 'por' 'mañana' 'yo'
 'no' 'me' 'lo' 'quito' ':)']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
85,"['@esthimarie' 'ustedes' 'pidieron' 'las' 'camisas' 'exactas' '?' 'pq'
 'mi' 'mama' 'se' 'antojo' 'de' 'una' 'ahora' '-.-']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
86,"['el' 'rotulo' 'del' 'baño' ':' '""' 'orine' 'feliz' ',' 'orine' 'contento'
 'pero' 'por' 'favor' 'orine' 'adentro' '..' '""' "":')""]","['lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'other']"
87,['hoy' 'me' 'siento' 'bien' 'senior' '...'],['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'other']
88,"['me' 'queje' 'de' 'las' 'preguntas' 'por' 'dos' 'horas' '...' 'las'
 'termine' 'en' 'menos' 'de' 'media' 'hora']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']"
89,['ni' 'el' 'header' 'he' 'hecho' '....'],['lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'other']
90,['por' 'que' 'me' 'levante' '?' '-.-'],['lang2' 'lang2' 'lang2' 'lang2' 'other' 'other']
91,['va' 'tener' 'un' 'hijo' '...' 'confrsion' 'es' 'mio' '!'],['lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other']
92,"['pregunta' 'del' 'semestre' ':' '""' 'para' 'donde' 'te' 'vas' 'a'
 'estudiar' '?' '""']","['lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'other']"
93,['este' 'cielito' 'lindo' '!' ':)'],['lang2' 'lang2' 'lang2' 'other' 'other']
94,['no' 'siento' 'mis' 'piernas' '-.-'],['lang2' 'lang2' 'lang2' 'lang2' 'other']
95,['cuando' 'se' 'quito' 'la' 'camisa' '>>'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
96,['la' 'gente' 'que' 'no' 'fue' 'por' 'cobarde' 'se' 'lo' 'perdio' '!'],"['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']"
97,['@christ1226' 'uhh' 'se' 'ven' 'cabronas' ':)'],['other' 'unk' 'lang2' 'lang2' 'lang2' 'other']
98,['@esangiecarajo' 'lo' 'que' 'tu' 'digas' 'jajajaja'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
99,"['antes' 'de' 'comer' ':' '""' 'cállate' 'no' 'me' 'hables' ',' 'te' 'odio'
 '""' 'despues' 'de' 'comer' ':' '""' 'cállate' 'no' 'me' 'hables' ','
 'estoy' 'feliz' '""']","['lang2' 'lang2' 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'other']"
100,['@esangiecarajo' 'yo' '?'],['other' 'lang2' 'other']
101,"['@vickybichawang' 'jajaja' 'yo' 'se' 'que' 'es' 'sm' 'no' 'es' 'pa' 'mi'
 ',' 'pero' 'queria' 'contestar' 'jajaajajaj']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2']"
102,['@esangiecarajo' 'embrace' 'mis' 'toterias' 'jajaja'],['other' 'lang2' 'lang2' 'lang2' 'lang2']
103,['normal'],['lang2']
104,['@esangiecarajo' 'te' 'pasa' '!'],['other' 'lang2' 'lang2' 'other']
105,['@esme1470' 'la' 'indesición' 'mata' 'jajaj'],['other' 'lang2' 'lang2' 'lang2' 'lang2']
106,['@esangiecarajo' 'se' 'sabe' 'las' 'canciones' '!' 'JAAJAJ'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2']
107,['se' 'me' 'olvido' 'que' 'hoy' 'yo' 'trabajo' '...'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
108,['@Jdulzaides23' 'ahora' 'quiero' 'saber' '..'],['other' 'lang2' 'lang2' 'lang2' 'other']
109,['@Jdulzaides23' 'no' 'se' 'supone'],['other' 'lang2' 'lang2' 'lang2']
110,['@fabiolad_ruin' 'hasta' 'el' 'caballo' 'quiere' 'de' 'eso' '...'],['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
111,"['@paolancc4' '@vickybichawang' 'jajaja' 'te' 'vas' 'a' 'reir' '!'
 'jajaja' 'no' 'te' 'vi' 'hoy' ':(']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
112,['no' 'se' 'si' 'ir' 'hoy' 'ya' 'que' 'nadie' 'me' 'quiere' 'llevar' '...'],"['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other']"
113,"['@paolancc4' 'ya' 'tengo' 'set' 'lo' 'que' 'vas' 'a' 'bailar' 'en' 'la'
 'entrada' '!' 'verdad' '@vickybichawang' 'JAJAJAJA' ':' ""'"" 'D']","['other' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other' 'lang2' 'other' 'other'
 'other']"
114,"['@vivivazq' '@adrianadanner' 'jajaja' 'libertad' 'pfftt' 'que' 'es' 'eso'
 '?']",['other' 'other' 'lang2' 'lang2' 'unk' 'lang2' 'lang2' 'lang2' 'other']
115,"['@fabiolad_ruin' '@colon_andre' '*' 'yo' 'dejo' 'para' 'la' 'imaginacion'
 '...']",['other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
116,"['@fabiolad_ruin' '@colon_andre' 'habla' 'claro' 'a' 'nadie' 'le' 'gusta'
 'usar' 'pantalones' '...' 'te' 'impide' 'tanto' 'jajaja']","['other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2']"
117,['esperando' 'por' 'ti' '...'],['lang2' 'lang2' 'lang2' 'other']
118,['mi' 'cara' 'esta' 'tan' 'roja' 'como' 'el' 'emoji' 'encabronado' '...'],"['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2'
 'other']"
119,['tengo' 'que' 'dormir' 'pero' 'no' 'puedo'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
120,"['mañana' 'voy' 'a' 'estar' 'todo' 'el' 'dia' 'con' 'sueño'
 'probablemente']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2']"
121,"['@natigvila' 'se' 'nota' 'que' 'ella' 'es' 'ciega' 'jajajaj' 'ella' 'es'
 'un' 'palillo']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2']"
122,['deseo' 'acabar' 'con' 'todo' 'ya' 'y' 'dormir'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
123,"['""' '@esangiecarajo' ':' '@arianaasalgado' 'DÓNDE' 'TU' 'ESTÁS' '?'
 '!?!!!' '""' 'en' 'mi' 'cama' 'desangrandome' 'y' 'estudiando' '..' 'creo'
 'que' 'llego' 'mas' 'tarde' 'hoy' ':/']","['other' 'other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
124,['estoy' 'demasiada' 'confiada' 'en' 'que' 'mañana' 'no' 'voy'],['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']
125,"['@alexandrarosado' 'esta' 'facil' '...' 'yo' 'lo' 'que' 'no' 'hise'
 'fueron' 'los' 'dbq']","['other' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang1']"
